Epoch,Loss,Accuracy
1,2.686943531036377,0.2900390625
2,1.9407873153686523,0.484375
3,1.6174569129943848,0.544921875
4,1.458333969116211,0.5615234375
5,1.3728690147399902,0.583984375
6,1.3088034391403198,0.6025390625
7,1.2523646354675293,0.615234375
8,1.2020187377929688,0.619140625
9,1.1673355102539062,0.6455078125
10,1.1156525611877441,0.6572265625
11,1.082251787185669,0.650390625
12,1.055321455001831,0.6708984375
13,1.0375034809112549,0.673828125
14,1.001244306564331,0.671875
15,0.9840903878211975,0.681640625
16,0.9725319147109985,0.685546875
17,0.9934872984886169,0.6904296875
18,0.9383748769760132,0.6962890625
19,0.9516583681106567,0.6923828125
20,0.9293675422668457,0.7099609375
21,0.8997623324394226,0.70703125
22,0.8822774887084961,0.7138671875
23,0.886393129825592,0.712890625
24,0.8780319094657898,0.7119140625
25,0.8775017261505127,0.6943359375
26,0.8672369718551636,0.70703125
27,0.8409728407859802,0.7275390625
28,0.8502500057220459,0.7275390625
29,0.8578890562057495,0.7197265625
30,0.8228745460510254,0.7353515625
31,0.8236817121505737,0.7353515625
32,0.8224433660507202,0.7265625
33,0.7981757521629333,0.734375
34,0.7827922701835632,0.7353515625
35,0.8063257932662964,0.7373046875
36,0.7677755951881409,0.7392578125
37,0.8032140135765076,0.736328125
38,0.7506588697433472,0.75390625
39,0.791738748550415,0.740234375
40,0.7608326077461243,0.7451171875
41,0.7467306852340698,0.7529296875
42,0.7180718779563904,0.765625
43,0.7339874505996704,0.75390625
44,0.7086251974105835,0.7734375
45,0.7144584655761719,0.755859375
46,0.7476349472999573,0.74609375
47,0.7191628217697144,0.7626953125
48,0.6980121731758118,0.765625
49,0.6817494630813599,0.7666015625
50,0.6670257449150085,0.78515625
51,0.678891658782959,0.775390625
52,0.6691738963127136,0.7685546875
53,0.6730015277862549,0.7822265625
54,0.6462726593017578,0.7822265625
55,0.6655445098876953,0.78515625
56,0.6735339164733887,0.7744140625
57,0.6632834672927856,0.7666015625
58,0.6696864366531372,0.77734375
59,0.6438201665878296,0.783203125
60,0.6247929930686951,0.7978515625
61,0.63626629114151,0.7880859375
62,0.6555535197257996,0.767578125
63,0.5953351259231567,0.8056640625
64,0.5886883735656738,0.802734375
65,0.6290388703346252,0.791015625
66,0.615948498249054,0.8017578125
67,0.6269690990447998,0.787109375
68,0.6066957712173462,0.79296875
69,0.5977391004562378,0.79296875
70,0.5860559940338135,0.8076171875
71,0.5905473828315735,0.796875
72,0.5631290674209595,0.8115234375
73,0.5785090923309326,0.8115234375
74,0.5872015953063965,0.7978515625
75,0.5800775289535522,0.8017578125
76,0.575839102268219,0.802734375
77,0.5773652791976929,0.8134765625
78,0.5444654226303101,0.82421875
79,0.5405412316322327,0.8203125
80,0.5648598670959473,0.80859375
